bin,count
9 - 2866,44
2866 - 5722,20
5722 - 8579,6
8579 - 11435,7
11435 - 14292,2
14292 - 17148,2
17148 - 20005,1
20005 - 22862,2
22862 - 25718,0
25718 - 28575,0
28575 - 31431,0
31431 - 34288,1
