bin,count
5 - 979,35
979 - 1953,18
1953 - 2928,14
2928 - 3902,5
3902 - 4877,4
4877 - 5851,3
5851 - 6826,2
6826 - 7800,2
7800 - 8775,1
8775 - 9749,0
9749 - 10724,0
10724 - 11698,1
