Real,Predicho
57.0,54.431365521182535
51.0,56.59939078779572
54.0,56.02834483102508
5712.0,5613.282892229589
3295.0,3417.454566042865
3106.0,3405.251404281307
541.0,537.1747282451689
51.0,54.98319482354833
1004.0,1045.2860359753859
3604.0,3362.261605959311
1020.0,1043.0632070234967
3250.0,3328.2496992016804
3602.0,3378.501314562099
552.0,546.5029173249814
4345.0,4778.079723753593
1193.0,1084.9952003436401
517.0,540.1994528800237
1096.0,1102.2461689941397
472.0,545.3372426965915
5121.0,4906.171612541511
5322.0,4877.056952162529
60.0,54.75472053576453
58.0,55.4550352387571
564.0,535.9880547310221
1083.0,1092.1965402083272
473.0,537.2207739883229
5741.0,4783.101457028661
5805.0,5560.571552201811
4370.0,4801.369319358954
609.0,534.0623840846174
4978.0,4877.056952162529
59.0,55.040867067929995
4066.0,5521.977913680136
5283.0,4830.772079781005
3145.0,3449.215441243661
3820.0,3412.399149451877
476.0,519.5575512299198
533.0,544.814639542307
3813.0,3361.0545089470315
6284.0,5594.451815225271
5194.0,5018.606064958846
5459.0,5517.113013531293
4465.0,4807.649441355173
4689.0,4761.455053539594
584.0,538.619067683744
605.0,535.0952699125107
4881.0,5488.937979101843
5944.0,5677.255525674404
5918.0,5249.956812470794
1251.0,1085.451573330553
1189.0,1087.0552601503996
58.0,57.356820162185755
1075.0,1070.1021954421947
5522.0,5404.369232787282
583.0,546.5735664662654
4755.0,5472.182672485987
4891.0,4877.056952162529
5520.0,4863.811804404055
5095.0,5615.308836000657
50.0,54.80878460320205
597.0,546.7306186736286
481.0,545.5886554704423
54.0,56.03987653340184
584.0,535.9880547310221
6818.0,5457.44852502389
5724.0,5540.808334563517
4991.0,4865.70886995044
516.0,558.610386631671
628.0,542.2976709921267
5266.0,4775.245800580366
3913.0,3342.0727221538573
517.0,546.5735664662654
4505.0,4960.910233236892
3153.0,3351.7404939191147
48.0,55.43633899562386
3422.0,3335.844922570822
4733.0,4819.253249757861
522.0,535.9880547310221
528.0,541.991321350835
626.0,556.3147275430762
1133.0,1061.8801452929124
880.0,1100.098955718532
935.0,1098.8500926955633
888.0,1070.1021954421947
540.0,544.0973447089635
4327.0,4789.73147940654
5753.0,4863.811804404055
56.0,55.43633899562386
1167.0,1100.155987540674
552.0,539.3279102016055
3494.0,3287.380916924519
1043.0,1083.4100295691987
6282.0,5354.403818367357
3423.0,3285.24424889992
4612.0,4773.606847460543
54.0,56.03987653340184
3236.0,3362.261605959311
66.0,55.19816400207558
54.0,55.00811063792187
5527.0,5534.746845761604
647.0,575.2685562349884
1033.0,1078.2657359507125
639.0,524.364435334322
3281.0,3371.267386639975
3822.0,4829.115870752025
501.0,546.5735664662654
553.0,540.6123683693329
3161.0,3517.024253808557
54.0,57.356820162185755
6205.0,5298.831271766977
61.0,56.59939078779572
4375.0,4878.495307188347
53.0,55.040867067929995
580.0,541.991321350835
437.0,519.5575512299198
1144.0,1097.0874717079785
3772.0,3386.966673072541
892.0,1089.1829984024037
1095.0,1083.2190298735838
460.0,547.2768578559113
54.0,55.18088709316832
43.0,55.19816400207558
563.0,534.9073984584197
58.0,55.4550352387571
3426.0,3336.6668056509707
1076.0,1093.7050997143187
53.0,52.93744090954871
492.0,541.1162279660456
5745.0,5534.746845761604
4905.0,4701.9310145463605
55.0,56.214538694709056
1189.0,1089.1829984024037
432.0,575.2685562349884
935.0,1083.2190298735838
5536.0,5394.930252937764
3785.0,3466.100191745567
550.0,540.9606894370521
551.0,537.1747282451689
3661.0,3412.340581490937
1200.0,1083.5512915571744
672.0,540.4711728619242
3131.0,3328.2496992016804
5698.0,5493.353007703823
1036.0,1021.2155757165215
4689.0,4812.072766971761
541.0,542.602830471661
672.0,543.557694012642
600.0,556.3147275430762
4432.0,4870.876424251244
52.0,55.4550352387571
1102.0,1062.7038509371168
540.0,558.610386631671
4869.0,4711.18705960306
538.0,541.991321350835
3352.0,3328.2496992016804
637.0,543.557694012642
1071.0,1097.0874717079785
2683.0,3359.6788304748393
4580.0,4820.13963526594
47.0,52.13123236521097
4711.0,4776.2372049567675
50.0,55.050927703415766
4749.0,4863.811804404055
54.0,55.47866743864958
4761.0,5457.523572815658
3458.0,3378.7505856155917
628.0,550.0719495532023
3830.0,3353.632289627528
3269.0,3359.6788304748393
51.0,53.885282840240414
2940.0,3465.534700998687
1040.0,1085.761857425945
5186.0,4701.9310145463605
5331.0,5457.44852502389
4955.0,4821.55398006514
72.0,53.102389237989364
63.0,52.13123236521097
532.0,555.3417854658925
4916.0,4878.495307188347
54.0,56.21041862720213
5710.0,5487.814018544826
542.0,544.814639542307
52.0,56.311308764717936
487.0,538.619067683744
560.0,537.1466820123671
48.0,55.04477879593618
68.0,56.214538694709056
4709.0,4753.708388769581
1247.0,1090.970073925935
4631.0,4878.495307188347
3744.0,3371.267386639975
3024.0,3404.2628313018145
4592.0,4722.109802590924
4888.0,4870.876424251244
633.0,546.7306186736286
1215.0,1064.2770354427107
513.0,545.1435838299959
6069.0,4806.702970608454
548.0,540.6123683693329
2882.0,3396.7876805932783
532.0,558.0093117834801
