bin,count
38 - 2559,2364
2559 - 5080,1301
5080 - 7600,558
7600 - 10121,0
10121 - 12642,0
12642 - 15163,0
15163 - 17684,0
17684 - 20205,0
20205 - 22726,0
22726 - 25246,4
25246 - 27767,6
27767 - 30288,5
